gene_id,log2FC,pvalue,padj,mean_expr,species,de_method,dataset_id
g22187,0.627186411794826,0.00481385112958511,0.0216049229252563,127.687443992862,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22188,1.35192393637713,0.0110447137135217,0.0418870076494564,40.0615264615902,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22189,5.22973715535479,8.00781873496221e-07,1.25002895923818e-05,18.3590320486109,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22196,1.38405460076529,0.00351903624318537,0.0167449497006193,27.8007316725231,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22197,1.41299212764513,0.000811273097701104,0.00502469833911286,32.3205084358219,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22199,0.331744550888209,0.0169314422868748,0.0583717394896772,698.192850811259,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22201,0.998941785556441,3.88181079640223e-05,0.000381708321495153,131.431547196143,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22202,0.0429574939628992,0.856404272288762,0.913277281406753,103.27076424235,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22203,0.572175834463247,0.217283806721876,0.376081404409743,21.3333097917522,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22206,1.30417826124314,0.000236558354735191,0.0018061679766373,300.002113521365,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22207,2.16540076494029,3.854313381922e-43,2.95483084045939e-40,374.616778016049,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22208,-0.411264609519321,0.0251844365746203,0.0787213308151715,549.163140070993,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22209,0.143485989459688,0.388130360420156,0.554521695909498,380.669544656362,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22210,0.212188725480206,0.144610066303779,0.281813243946597,484.98571901053,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22211,0.127504540565894,0.450483912052472,0.611783458972863,278.421665026142,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22212,0.107421673227753,0.365043679462308,0.5324529012184,963.717787519554,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22213,-1.9870450872005,7.08402740164851e-10,2.07400683432422e-08,110.640457772828,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22216,3.26171295111371,6.89038675858144e-10,2.02591073175962e-08,24.0611815191932,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22217,0.603000144476725,0.00221765939499132,0.0116189683725071,207.827844577046,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22218,-0.287292665579296,0.66972585339835,0.787592968314849,11.3315213478692,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22220,-0.543742847185395,0.00360340434839562,0.0170445307603841,690.942134165898,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22221,0.0692052630077268,0.682950157645301,0.797708822451685,1622.61745704551,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22222,0.0100199168879049,0.97347342127692,0.98581986886751,51.3789067323914,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22223,-0.198651818762919,0.616128375482546,0.746109006266496,27.9604948196521,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22224,-0.950895531699662,9.7070213985665e-10,2.79063383234622e-08,315.917115470836,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22225,0.105755530277551,0.780368495605623,0.86554531690828,30.2256692886233,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22227,-0.53048227626964,0.0491503277897038,0.129600335658481,1069.27063632719,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22229,0.348053117465033,0.601495980355052,0.734838298847265,10.3136111825917,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22233,0.177642998242377,0.0903613945996903,0.200987589385234,6211.57973148398,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22234,0.673567013001764,0.052031704826866,0.134878429331409,66.9448764862065,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22236,0.21822444996614,0.370228226643194,0.537666039660946,74.2403457037556,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22237,-0.170767700859859,0.771164642628156,0.859160177499338,13.7816844830641,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22238,-0.519654493269302,0.0976051029149992,0.212420147748667,117.990981982845,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22239,-0.289409253618101,0.175339080576072,0.323442084381438,315.73047513615,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22240,0.129738777101761,0.548693590944002,0.693116601913213,121.48573508349,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22241,-0.0594976569164971,0.725047817824928,0.827603660591055,312.516002748274,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22242,0.369596313298263,0.0188970140621359,0.0632927660310925,264.419517879167,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22244,-2.18359190590809,1.61351909720334e-07,2.92710182234987e-06,28.774340562985,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22245,-0.122483275584291,0.787521907871983,0.870306139136705,18.6800974439389,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
